id,draft_year,pick_number,name,nfl_passer_rating,nfl_attempts,nfl_start_wins,career_nfl_games,power_5,college_career_years,college_career_games,cmp,att,pct,yds,y/a,ay/a,td,int,rate,rsh_att,rsh_yrds,rsh_tds
1,2010,1,Sam Bradford,84.5,2967,34,83,1,3,31,604,893,67.6,8403,9.4,10.6,88,16,175.6,77,36,5
2,2010,25,Tim Tebow,75.3,361,8,35,1,4,53,661,995,66.4,9285,9.3,10.4,88,16,170.8,692,2947,57
3,2010,48,Jimmy Clausen,61.9,472,1,21,1,3,35,695,1110,62.6,8148,7.3,7.3,60,27,137.2,175,-355,5
4,2010,85,Colt McCoy,78.1,989,8,44,1,4,53,1157,1645,70.3,13253,8.1,8.2,112,45,155,447,1571,20
5,2010,122,Mike Kafka,47.7,16,0,4,1,4,30,408,637,64.1,4265,6.7,5.9,19,20,123.9,268,887,11
6,2010,155,John Skelton,63,602,8,20,0,4,43,802,1363,58.8,9923,7.3,7.1,69,36,131.4,296,1216,14
7,2010,168,Jonathan Crompton,0,0,0,0,1,4,35,348,629,55.3,4187,6.7,6.2,36,22,123.1,101,-16,3
8,2010,176,Rusty Smith,29.3,45,0,3,0,4,45,768,1361,56.4,10112,7.4,7.4,76,36,132,115,-335,5
9,2010,181,Dan LeFevour,0,0,0,0,0,4,53,1171,1763,66.4,12905,7.3,7.6,102,36,142.9,671,2948,47
10,2010,199,Joe Webb,63.1,159,1,104,0,4,37,468,792,59.1,5771,7.3,6.8,37,25,129.4,516,2774,24
11,2010,204,Tony Pike,60.1,12,0,1,0,3,27,421,682,61.7,5018,7.4,7.5,49,20,141.4,94,128,3
12,2010,209,Levi Brown,51.4,3,0,1,0,4,23,522,830,62.9,6284,7.6,7.8,38,12,138.7,87,24,1
13,2010,239,Sean Canfield,0,0,0,0,1,4,38,552,861,64.1,5970,6.9,6.5,38,26,130.9,93,-313,3
14,2010,250,Zac Robinson,0,0,0,0,1,4,45,610,999,61.1,8317,8.3,8.3,66,31,146.6,426,1858,22
15,2009,1,Matthew Stafford,89.9,6224,74,165,1,3,39,564,987,57.1,7731,7.8,7.4,51,33,133.3,141,213,6
16,2009,5,Mark Sanchez,73.2,2320,37,79,1,3,27,313,487,64.3,3965,8.1,8.3,41,16,153.9,70,33,4
17,2009,17,Josh Freeman,77.6,2048,25,62,1,3,35,680,1151,59.1,8078,7,6.5,44,34,136.5,214,343,20
18,2009,44,Pat White,39.6,5,0,13,0,4,49,507,783,64.8,6049,7.7,7.8,56,23,147.4,684,4480,47
19,2009,101,Stephen McGee,82.4,82,1,3,1,4,40,485,815,58.5,5475,6.7,6.7,28,13,124.1,387,1750,11
20,2009,151,Rhett Bomar,0,0,0,0,0,3,31,584,1035,56.4,7582,7.3,7,47,29,127.3,257,777,16
21,2009,171,Nate Davis,0,0,0,0,0,3,39,678,1124,60.3,9233,8.2,8.7,74,22,147.1,173,499,10
22,2009,174,Tom Brandstater,39.6,2,0,1,0,4,45,584,989,59,6857,6.9,6.4,47,32,126.5,132,152,8
23,2009,178,Mike Teel,0,0,0,0,0,4,48,661,1142,57.9,9383,8.2,7.3,59,49,135.4,56,-210,2
24,2009,196,Keith Null,49.9,119,0,4,0,,,,,,,,,,,,,,
25,2009,201,Curtis Painter,57.6,287,0,14,1,4,46,987,1648,59.9,11163,6.8,6.3,67,46,124.6,225,348,13
26,2008,3,Matt Ryan,94.5,7443,113,205,1,4,43,807,1347,59.9,9393,6.9,6.5,56,37,126.2,168,58,11
27,2008,18,Joe Flacco,84.1,6066,98,176,0,3,24,596,942,63.3,7057,7.5,7.6,41,15,137.4,153,76,9
28,2008,56,Brian Brohm,26,52,0,3,1,4,44,780,1185,65.8,10775,9.1,9.4,71,24,157.9,172,44,9
29,2008,57,Chad Henne,76.1,1997,18,71,1,4,47,828,1387,59.7,9715,7,7.1,87,37,133.9,180,-315,3
30,2008,94,Kevin O'Connell,73.6,6,0,2,0,4,39,664,1151,57.7,7689,6.7,6.2,46,34,121.1,395,1312,19
31,2008,137,John David Booty,0,0,0,0,1,4,38,518,832,62.3,6125,7.4,7.5,55,21,140.9,61,-180,2
32,2008,156,Dennis Dixon,71.4,59,2,4,1,4,40,444,695,63.9,5129,7.4,7.1,38,21,137.9,258,1208,12
33,2008,160,Josh Johnson,61.7,268,1,33,0,4,44,724,1065,68,9699,9.1,10.6,113,15,176.7,307,1864,19
34,2008,162,Erik Ainge,0,0,0,0,1,4,43,733,1210,60.6,8700,7.2,7.1,72,35,134.8,82,-227,1
35,2008,186,Colt Brennan,0,0,0,0,0,3,38,1115,1584,70.4,14193,9,9.4,131,42,167.6,267,547,15
36,2008,198,Andre' Woodson,0,0,0,0,1,4,44,791,1278,61.9,9360,7.3,7.7,79,25,139.9,232,-490,5
37,2008,209,Matt Flynn,85.9,357,3,53,1,4,41,245,437,56.1,3096,7.1,7.2,31,13,133,128,340,5
38,2008,223,Alex Brink,0,0,0,0,1,4,46,848,1451,58.4,10913,7.5,7.2,76,43,133,246,98,5
39,2007,1,JaMarcus Russell,65.2,680,7,31,1,3,36,493,797,61.9,6625,8.3,8.4,52,21,147.9,139,79,4
40,2007,22,Brady Quinn,64.4,550,4,24,1,4,49,929,1602,58,11762,7.3,7.4,95,39,134.4,254,182,6
41,2007,36,Kevin Kolb,78.9,755,9,34,0,4,50,964,1565,61.6,12964,8.3,8.5,85,31,145.1,472,751,21
42,2007,40,John Beck,67.6,239,0,9,0,4,43,885,1418,62.4,11021,7.8,7.8,79,34,141.3,267,38,9
43,2007,43,Drew Stanton,66.3,659,11,38,1,4,45,543,846,64.2,6524,7.7,7.2,42,28,138.7,332,1512,15
44,2007,92,Trent Edwards,75.7,929,14,38,1,4,35,487,865,56.3,5429,6.3,5.4,36,33,115.1,226,199,2
45,2007,103,Isaiah Stanback,0,0,0,0,1,4,36,269,523,51.4,3868,7.4,7.2,22,12,122.9,234,794,11
46,2007,151,Jeff Rowe,0,0,0,2,0,5,45,682,1122,60.8,7862,7,6.7,55,33,129.9,317,561,13
47,2007,174,Troy Smith,78.5,234,4,20,1,4,43,420,670,62.7,5720,8.5,9.3,54,13,157.1,293,1168,14
48,2007,205,Jordan Palmer,28.7,18,0,5,0,4,46,851,1427,59.6,11084,7.8,7,88,64,136.3,216,-43,7
49,2007,217,Tyler Thigpen,72.5,509,1,29,0,4,44,486,879,55.3,6598,7.5,7.432309443,53,25,114.6441411,346,1626,13
50,2006,3,Vince Young,74.4,1304,31,60,1,3,37,444,718,61.8,6040,8.4,7.9,44,28,144.9,457,3127,37
51,2006,10,Matt Leinart,70.2,641,8,33,1,3,39,807,1245,64.8,10693,8.6,9.3,99,23,159.5,132,-70,9
52,2006,11,Jay Cutler,85.3,4920,74,153,1,4,45,710,1242,57.2,8697,7,6.6,59,36,125.9,453,1256,17
53,2006,49,Kellen Clemens,68.9,638,8,64,1,4,37,613,1005,61,7555,7.5,7.7,61,24,139.4,273,535,6
